# The kernel record, read by `rudb-bench kernels --check`.
#
# One block per machine. Written by `rudb-bench kernels --record`, which runs `cargo xtask kernels
# --json` in a rudb checkout and stores what it said. The numbers are nanoseconds per row and every
# machine has its own, so a block is only ever compared against a later block from the same machine.
#
# A cell line is the table, the case, the detail, the form pair or stage, the null percentage, the
# rows the time was divided by, nanoseconds per row, the interquartile range as a percentage of the
# median, and whether a specialized loop ran or the row at a time path did. Separated by pipes
# because a case name has spaces in it and a column layout that breaks on the first one is a file
# format that works until somebody adds a case.
#
# This is also the committed form of the compaction surface, which sub-milestone 2b asks for by
# name: the rows whose table is `compaction` are it.
#
# Rule ten applies here as everywhere. Nothing in this file times a query, so nothing in it is a
# result on its own.

[kernels]
machine   gamingpc-wsl
rudb      0.2.2 6e78afa
recorded  2026-09-11
cell      comparison | Bool | BOOLEAN | flat/flat | 0 | 1024 | 0.0544 | 0.8 | kernel
cell      comparison | UInt64 | UBIGINT | flat/flat | 0 | 1024 | 0.4562 | 0.2 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/flat | 0 | 1024 | 0.3822 | 0.2 | kernel
cell      comparison | UInt64 | UBIGINT | flat/const | 0 | 1024 | 0.4455 | 0.3 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/const | 0 | 1024 | 0.4145 | 0.4 | kernel
cell      comparison | UInt64 | UBIGINT | const/flat | 0 | 1024 | 0.4416 | 0.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | const/flat | 0 | 1024 | 0.3906 | 0.2 | kernel
cell      comparison | UInt64 | UBIGINT | dict/const | 0 | 1024 | 0.4091 | 0.2 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/const | 0 | 1024 | 0.4465 | 0.2 | kernel
cell      comparison | UInt64 | UBIGINT | dict/flat | 0 | 1024 | 0.4743 | 1.8 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/flat | 0 | 1024 | 0.5107 | 0.2 | kernel
cell      comparison | UInt64 | UBIGINT | flat/flat | 1 | 1024 | 0.8977 | 0.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/flat | 1 | 1024 | 0.8386 | 2.2 | kernel
cell      comparison | UInt64 | UBIGINT | flat/const | 1 | 1024 | 0.8832 | 0.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/const | 1 | 1024 | 0.8714 | 0.4 | kernel
cell      comparison | UInt64 | UBIGINT | const/flat | 1 | 1024 | 0.8997 | 1.9 | kernel
cell      arithmetic | UInt64 | UBIGINT | const/flat | 1 | 1024 | 0.8383 | 0.1 | kernel
cell      comparison | UInt64 | UBIGINT | dict/const | 1 | 1024 | 0.4083 | 0.2 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/const | 1 | 1024 | 0.4463 | 0.3 | kernel
cell      comparison | UInt64 | UBIGINT | dict/flat | 1 | 1024 | 0.9129 | 0.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/flat | 1 | 1024 | 0.9456 | 0.1 | kernel
cell      comparison | UInt64 | UBIGINT | flat/flat | 50 | 1024 | 0.8848 | 1.9 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/flat | 50 | 1024 | 0.8138 | 1.9 | kernel
cell      comparison | UInt64 | UBIGINT | flat/const | 50 | 1024 | 0.8569 | 0.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | flat/const | 50 | 1024 | 0.8468 | 0.3 | kernel
cell      comparison | UInt64 | UBIGINT | const/flat | 50 | 1024 | 0.8595 | 0.4 | kernel
cell      arithmetic | UInt64 | UBIGINT | const/flat | 50 | 1024 | 0.8055 | 0.1 | kernel
cell      comparison | UInt64 | UBIGINT | dict/const | 50 | 1024 | 0.4165 | 2.1 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/const | 50 | 1024 | 0.4464 | 0.5 | kernel
cell      comparison | UInt64 | UBIGINT | dict/flat | 50 | 1024 | 0.8862 | 1.8 | kernel
cell      arithmetic | UInt64 | UBIGINT | dict/flat | 50 | 1024 | 0.9185 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/flat | 0 | 1024 | 0.5073 | 0.9 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/flat | 0 | 1024 | 0.5406 | 1.8 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/const | 0 | 1024 | 0.4063 | 2.7 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/const | 0 | 1024 | 0.5322 | 0.3 | kernel
cell      comparison | UInt128 | UHUGEINT | const/flat | 0 | 1024 | 0.4053 | 2.1 | kernel
cell      arithmetic | UInt128 | UHUGEINT | const/flat | 0 | 1024 | 0.4625 | 0.3 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/const | 0 | 1024 | 0.5821 | 1.0 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/const | 0 | 1024 | 0.6429 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/flat | 0 | 1024 | 0.6567 | 2.2 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/flat | 0 | 1024 | 0.7006 | 0.4 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/flat | 1 | 1024 | 0.9171 | 0.1 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/flat | 1 | 1024 | 1.0142 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/const | 1 | 1024 | 0.8669 | 2.1 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/const | 1 | 1024 | 0.9814 | 1.7 | kernel
cell      comparison | UInt128 | UHUGEINT | const/flat | 1 | 1024 | 0.8499 | 1.5 | kernel
cell      arithmetic | UInt128 | UHUGEINT | const/flat | 1 | 1024 | 0.9170 | 1.4 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/const | 1 | 1024 | 0.5816 | 0.1 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/const | 1 | 1024 | 0.6420 | 0.3 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/flat | 1 | 1024 | 1.0870 | 0.2 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/flat | 1 | 1024 | 1.1516 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/flat | 50 | 1024 | 0.8906 | 0.2 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/flat | 50 | 1024 | 0.9653 | 0.1 | kernel
cell      comparison | UInt128 | UHUGEINT | flat/const | 50 | 1024 | 0.8345 | 1.3 | kernel
cell      arithmetic | UInt128 | UHUGEINT | flat/const | 50 | 1024 | 0.9289 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | const/flat | 50 | 1024 | 0.8160 | 0.1 | kernel
cell      arithmetic | UInt128 | UHUGEINT | const/flat | 50 | 1024 | 0.8765 | 0.2 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/const | 50 | 1024 | 0.5841 | 1.5 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/const | 50 | 1024 | 0.6441 | 0.8 | kernel
cell      comparison | UInt128 | UHUGEINT | dict/flat | 50 | 1024 | 1.0567 | 0.0 | kernel
cell      arithmetic | UInt128 | UHUGEINT | dict/flat | 50 | 1024 | 1.1137 | 1.4 | kernel
cell      comparison | Float32 | FLOAT | flat/flat | 0 | 1024 | 0.1888 | 0.3 | kernel
cell      arithmetic | Float32 | FLOAT | flat/flat | 0 | 1024 | 0.6039 | 0.5 | kernel
cell      comparison | Float32 | FLOAT | flat/const | 0 | 1024 | 0.1937 | 0.7 | kernel
cell      arithmetic | Float32 | FLOAT | flat/const | 0 | 1024 | 0.6168 | 2.5 | kernel
cell      comparison | Float32 | FLOAT | const/flat | 0 | 1024 | 0.2030 | 0.4 | kernel
cell      arithmetic | Float32 | FLOAT | const/flat | 0 | 1024 | 0.6086 | 0.2 | kernel
cell      comparison | Float32 | FLOAT | dict/const | 0 | 1024 | 1.0794 | 1.6 | kernel
cell      arithmetic | Float32 | FLOAT | dict/const | 0 | 1024 | 0.6248 | 0.1 | kernel
cell      comparison | Float32 | FLOAT | dict/flat | 0 | 1024 | 1.1999 | 0.2 | kernel
cell      arithmetic | Float32 | FLOAT | dict/flat | 0 | 1024 | 0.6655 | 0.5 | kernel
cell      comparison | Float32 | FLOAT | flat/flat | 1 | 1024 | 0.6394 | 2.0 | kernel
cell      arithmetic | Float32 | FLOAT | flat/flat | 1 | 1024 | 1.0662 | 0.1 | kernel
cell      comparison | Float32 | FLOAT | flat/const | 1 | 1024 | 0.6272 | 0.1 | kernel
cell      arithmetic | Float32 | FLOAT | flat/const | 1 | 1024 | 1.0497 | 0.1 | kernel
cell      comparison | Float32 | FLOAT | const/flat | 1 | 1024 | 0.6397 | 0.7 | kernel
cell      arithmetic | Float32 | FLOAT | const/flat | 1 | 1024 | 1.0387 | 0.2 | kernel
cell      comparison | Float32 | FLOAT | dict/const | 1 | 1024 | 1.0797 | 0.3 | kernel
cell      arithmetic | Float32 | FLOAT | dict/const | 1 | 1024 | 0.6247 | 0.5 | kernel
cell      comparison | Float32 | FLOAT | dict/flat | 1 | 1024 | 1.6370 | 0.3 | kernel
cell      arithmetic | Float32 | FLOAT | dict/flat | 1 | 1024 | 1.1023 | 0.4 | kernel
cell      comparison | Float32 | FLOAT | flat/flat | 50 | 1024 | 0.6084 | 2.6 | kernel
cell      arithmetic | Float32 | FLOAT | flat/flat | 50 | 1024 | 1.0436 | 0.4 | kernel
cell      comparison | Float32 | FLOAT | flat/const | 50 | 1024 | 0.6036 | 0.4 | kernel
cell      arithmetic | Float32 | FLOAT | flat/const | 50 | 1024 | 1.0844 | 0.2 | kernel
cell      comparison | Float32 | FLOAT | const/flat | 50 | 1024 | 0.6148 | 2.2 | kernel
cell      arithmetic | Float32 | FLOAT | const/flat | 50 | 1024 | 1.0122 | 0.1 | kernel
cell      comparison | Float32 | FLOAT | dict/const | 50 | 1024 | 1.0812 | 0.8 | kernel
cell      arithmetic | Float32 | FLOAT | dict/const | 50 | 1024 | 0.6291 | 2.0 | kernel
cell      comparison | Float32 | FLOAT | dict/flat | 50 | 1024 | 1.6444 | 1.2 | kernel
cell      arithmetic | Float32 | FLOAT | dict/flat | 50 | 1024 | 1.1037 | 0.7 | kernel
cell      comparison | Float64 | DOUBLE | flat/flat | 0 | 1024 | 1.2010 | 2.9 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/flat | 0 | 1024 | 0.5126 | 1.3 | kernel
cell      comparison | Float64 | DOUBLE | flat/const | 0 | 1024 | 1.0198 | 0.7 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/const | 0 | 1024 | 0.1741 | 4.4 | kernel
cell      comparison | Float64 | DOUBLE | const/flat | 0 | 1024 | 0.9237 | 1.1 | kernel
cell      arithmetic | Float64 | DOUBLE | const/flat | 0 | 1024 | 0.1563 | 1.0 | kernel
cell      comparison | Float64 | DOUBLE | dict/const | 0 | 1024 | 1.0914 | 0.5 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/const | 0 | 1024 | 0.4491 | 1.7 | kernel
cell      comparison | Float64 | DOUBLE | dict/flat | 0 | 1024 | 1.2255 | 2.6 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/flat | 0 | 1024 | 0.6009 | 2.6 | kernel
cell      comparison | Float64 | DOUBLE | flat/flat | 1 | 1024 | 1.6662 | 1.8 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/flat | 1 | 1024 | 1.1334 | 3.1 | kernel
cell      comparison | Float64 | DOUBLE | flat/const | 1 | 1024 | 1.4686 | 1.6 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/const | 1 | 1024 | 0.6338 | 2.9 | kernel
cell      comparison | Float64 | DOUBLE | const/flat | 1 | 1024 | 1.3639 | 2.1 | kernel
cell      arithmetic | Float64 | DOUBLE | const/flat | 1 | 1024 | 0.6088 | 2.5 | kernel
cell      comparison | Float64 | DOUBLE | dict/const | 1 | 1024 | 1.0911 | 1.6 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/const | 1 | 1024 | 0.4492 | 1.7 | kernel
cell      comparison | Float64 | DOUBLE | dict/flat | 1 | 1024 | 1.6721 | 0.4 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/flat | 1 | 1024 | 1.0502 | 1.1 | kernel
cell      comparison | Float64 | DOUBLE | flat/flat | 50 | 1024 | 1.6457 | 1.6 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/flat | 50 | 1024 | 1.1474 | 1.0 | kernel
cell      comparison | Float64 | DOUBLE | flat/const | 50 | 1024 | 1.4434 | 2.3 | kernel
cell      arithmetic | Float64 | DOUBLE | flat/const | 50 | 1024 | 0.5830 | 2.7 | kernel
cell      comparison | Float64 | DOUBLE | const/flat | 50 | 1024 | 1.3486 | 2.4 | kernel
cell      arithmetic | Float64 | DOUBLE | const/flat | 50 | 1024 | 0.5695 | 3.1 | kernel
cell      comparison | Float64 | DOUBLE | dict/const | 50 | 1024 | 1.1040 | 0.4 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/const | 50 | 1024 | 0.4508 | 0.3 | kernel
cell      comparison | Float64 | DOUBLE | dict/flat | 50 | 1024 | 1.6375 | 1.5 | kernel
cell      arithmetic | Float64 | DOUBLE | dict/flat | 50 | 1024 | 1.2013 | 4.5 | kernel
cell      comparison | Interval | INTERVAL | flat/flat | 0 | 1024 | 0.4783 | 0.3 | kernel
cell      comparison | Interval | INTERVAL | flat/const | 0 | 1024 | 0.4620 | 1.2 | kernel
cell      comparison | Interval | INTERVAL | const/flat | 0 | 1024 | 0.4856 | 0.5 | kernel
cell      comparison | Interval | INTERVAL | dict/const | 0 | 1024 | 0.6775 | 1.7 | kernel
cell      comparison | Interval | INTERVAL | dict/flat | 0 | 1024 | 0.6812 | 2.5 | kernel
cell      comparison | Interval | INTERVAL | flat/flat | 1 | 1024 | 0.9292 | 1.6 | kernel
cell      comparison | Interval | INTERVAL | flat/const | 1 | 1024 | 0.8960 | 1.0 | kernel
cell      comparison | Interval | INTERVAL | const/flat | 1 | 1024 | 0.9189 | 0.2 | kernel
cell      comparison | Interval | INTERVAL | dict/const | 1 | 1024 | 0.6655 | 2.1 | kernel
cell      comparison | Interval | INTERVAL | dict/flat | 1 | 1024 | 1.1180 | 0.2 | kernel
cell      comparison | Interval | INTERVAL | flat/flat | 50 | 1024 | 0.9055 | 0.3 | kernel
cell      comparison | Interval | INTERVAL | flat/const | 50 | 1024 | 0.8747 | 0.2 | kernel
cell      comparison | Interval | INTERVAL | const/flat | 50 | 1024 | 0.8996 | 0.5 | kernel
cell      comparison | Interval | INTERVAL | dict/const | 50 | 1024 | 0.6700 | 1.9 | kernel
cell      comparison | Interval | INTERVAL | dict/flat | 50 | 1024 | 1.0952 | 1.5 | kernel
cell      comparison | Varlen | VARCHAR | flat/flat | 0 | 1024 | 1.3530 | 2.1 | kernel
cell      comparison | Varlen | VARCHAR | flat/const | 0 | 1024 | 1.4372 | 1.5 | kernel
cell      comparison | Varlen | VARCHAR | const/flat | 0 | 1024 | 1.4589 | 1.6 | kernel
cell      comparison | Varlen | VARCHAR | dict/const | 0 | 1024 | 1.4451 | 0.3 | kernel
cell      comparison | Varlen | VARCHAR | dict/flat | 0 | 1024 | 1.6230 | 1.7 | kernel
cell      comparison | Varlen | VARCHAR | flat/flat | 1 | 1024 | 1.8346 | 1.1 | kernel
cell      comparison | Varlen | VARCHAR | flat/const | 1 | 1024 | 1.8992 | 0.6 | kernel
cell      comparison | Varlen | VARCHAR | const/flat | 1 | 1024 | 1.8999 | 1.1 | kernel
cell      comparison | Varlen | VARCHAR | dict/const | 1 | 1024 | 1.4423 | 1.9 | kernel
cell      comparison | Varlen | VARCHAR | dict/flat | 1 | 1024 | 2.0791 | 0.1 | kernel
cell      comparison | Varlen | VARCHAR | flat/flat | 50 | 1024 | 1.8073 | 0.5 | kernel
cell      comparison | Varlen | VARCHAR | flat/const | 50 | 1024 | 1.8830 | 1.3 | kernel
cell      comparison | Varlen | VARCHAR | const/flat | 50 | 1024 | 1.8711 | 1.0 | kernel
cell      comparison | Varlen | VARCHAR | dict/const | 50 | 1024 | 1.4408 | 1.9 | kernel
cell      comparison | Varlen | VARCHAR | dict/flat | 50 | 1024 | 2.0592 | 1.8 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/flat | 0 | 1024 | 1.3762 | 2.5 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/const | 0 | 1024 | 1.4666 | 2.0 | kernel
cell      strings | prefix decides, inline | VARCHAR | const/flat | 0 | 1024 | 1.4607 | 1.0 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/const | 0 | 1024 | 1.4130 | 2.0 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/flat | 0 | 1024 | 1.6440 | 1.9 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/flat | 1 | 1024 | 1.8303 | 1.6 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/const | 1 | 1024 | 1.9082 | 0.2 | kernel
cell      strings | prefix decides, inline | VARCHAR | const/flat | 1 | 1024 | 1.8985 | 0.2 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/const | 1 | 1024 | 1.4410 | 2.1 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/flat | 1 | 1024 | 2.0802 | 1.6 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/flat | 50 | 1024 | 1.8065 | 0.4 | kernel
cell      strings | prefix decides, inline | VARCHAR | flat/const | 50 | 1024 | 1.8753 | 0.5 | kernel
cell      strings | prefix decides, inline | VARCHAR | const/flat | 50 | 1024 | 1.8762 | 0.4 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/const | 50 | 1024 | 1.4449 | 0.4 | kernel
cell      strings | prefix decides, inline | VARCHAR | dict/flat | 50 | 1024 | 2.0545 | 0.2 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/flat | 0 | 1024 | 2.8383 | 2.0 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/const | 0 | 1024 | 2.9546 | 0.4 | kernel
cell      strings | prefix ties, inline | VARCHAR | const/flat | 0 | 1024 | 2.9015 | 1.1 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/const | 0 | 1024 | 2.8695 | 1.9 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/flat | 0 | 1024 | 3.0081 | 1.5 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/flat | 1 | 1024 | 3.3055 | 0.3 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/const | 1 | 1024 | 3.3966 | 1.7 | kernel
cell      strings | prefix ties, inline | VARCHAR | const/flat | 1 | 1024 | 3.3360 | 2.0 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/const | 1 | 1024 | 2.8230 | 0.2 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/flat | 1 | 1024 | 3.4500 | 1.2 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/flat | 50 | 1024 | 3.2844 | 0.6 | kernel
cell      strings | prefix ties, inline | VARCHAR | flat/const | 50 | 1024 | 3.3510 | 0.4 | kernel
cell      strings | prefix ties, inline | VARCHAR | const/flat | 50 | 1024 | 3.3190 | 0.5 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/const | 50 | 1024 | 2.8668 | 2.3 | kernel
cell      strings | prefix ties, inline | VARCHAR | dict/flat | 50 | 1024 | 3.4263 | 0.6 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/flat | 0 | 1024 | 1.3743 | 1.9 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/const | 0 | 1024 | 1.4694 | 1.8 | kernel
cell      strings | prefix decides, arena | VARCHAR | const/flat | 0 | 1024 | 1.4592 | 2.3 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/const | 0 | 1024 | 1.4519 | 2.3 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/flat | 0 | 1024 | 1.6780 | 0.6 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/flat | 1 | 1024 | 1.8337 | 1.6 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/const | 1 | 1024 | 1.9030 | 1.0 | kernel
cell      strings | prefix decides, arena | VARCHAR | const/flat | 1 | 1024 | 1.9017 | 0.5 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/const | 1 | 1024 | 1.4510 | 1.9 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/flat | 1 | 1024 | 2.1166 | 0.3 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/flat | 50 | 1024 | 1.7791 | 1.5 | kernel
cell      strings | prefix decides, arena | VARCHAR | flat/const | 50 | 1024 | 1.8902 | 0.6 | kernel
cell      strings | prefix decides, arena | VARCHAR | const/flat | 50 | 1024 | 1.8779 | 0.5 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/const | 50 | 1024 | 1.4482 | 1.6 | kernel
cell      strings | prefix decides, arena | VARCHAR | dict/flat | 50 | 1024 | 2.0806 | 2.0 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/flat | 0 | 1024 | 3.3385 | 0.3 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/const | 0 | 1024 | 3.0024 | 0.2 | kernel
cell      strings | prefix ties, arena | VARCHAR | const/flat | 0 | 1024 | 3.3438 | 3.7 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/const | 0 | 1024 | 3.0875 | 1.8 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/flat | 0 | 1024 | 3.2095 | 0.2 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/flat | 1 | 1024 | 3.7932 | 0.3 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/const | 1 | 1024 | 3.8085 | 0.4 | kernel
cell      strings | prefix ties, arena | VARCHAR | const/flat | 1 | 1024 | 3.7756 | 1.9 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/const | 1 | 1024 | 3.1223 | 0.5 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/flat | 1 | 1024 | 4.0960 | 0.2 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/flat | 50 | 1024 | 3.7563 | 0.2 | kernel
cell      strings | prefix ties, arena | VARCHAR | flat/const | 50 | 1024 | 3.7649 | 0.1 | kernel
cell      strings | prefix ties, arena | VARCHAR | const/flat | 50 | 1024 | 3.7572 | 0.3 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/const | 50 | 1024 | 3.1202 | 0.1 | kernel
cell      strings | prefix ties, arena | VARCHAR | dict/flat | 50 | 1024 | 4.0757 | 0.2 | kernel
cell      compaction | 1 bigint | 0.1 | select build | 0 | 3 | 29.6245 | 2.5 | kernel
cell      compaction | 1 bigint | 0.1 | select pass | 0 | 3 | 16.7880 | 1.4 | kernel
cell      compaction | 1 bigint | 0.1 | compact build | 0 | 3 | 32.0960 | 1.6 | kernel
cell      compaction | 1 bigint | 0.1 | compact pass | 0 | 3 | 15.3701 | 2.1 | kernel
cell      compaction | 1 bigint | 1 | select build | 0 | 11 | 7.9939 | 2.2 | kernel
cell      compaction | 1 bigint | 1 | select pass | 0 | 11 | 4.6422 | 0.6 | kernel
cell      compaction | 1 bigint | 1 | compact build | 0 | 11 | 9.8222 | 0.2 | kernel
cell      compaction | 1 bigint | 1 | compact pass | 0 | 11 | 4.4173 | 1.4 | kernel
cell      compaction | 1 bigint | 5 | select build | 0 | 49 | 2.0050 | 0.1 | kernel
cell      compaction | 1 bigint | 5 | select pass | 0 | 49 | 1.4117 | 0.5 | kernel
cell      compaction | 1 bigint | 5 | compact build | 0 | 49 | 3.2839 | 2.4 | kernel
cell      compaction | 1 bigint | 5 | compact pass | 0 | 49 | 1.2760 | 0.4 | kernel
cell      compaction | 1 bigint | 10 | select build | 0 | 100 | 1.2783 | 1.6 | kernel
cell      compaction | 1 bigint | 10 | select pass | 0 | 100 | 0.9288 | 0.2 | kernel
cell      compaction | 1 bigint | 10 | compact build | 0 | 100 | 2.4193 | 1.0 | kernel
cell      compaction | 1 bigint | 10 | compact pass | 0 | 100 | 0.8484 | 2.1 | kernel
cell      compaction | 1 bigint | 25 | select build | 0 | 255 | 0.7409 | 0.7 | kernel
cell      compaction | 1 bigint | 25 | select pass | 0 | 255 | 0.5859 | 0.9 | kernel
cell      compaction | 1 bigint | 25 | compact build | 0 | 255 | 2.0018 | 0.2 | kernel
cell      compaction | 1 bigint | 25 | compact pass | 0 | 255 | 0.5730 | 1.1 | kernel
cell      compaction | 1 bigint | 50 | select build | 0 | 514 | 0.5858 | 2.7 | kernel
cell      compaction | 1 bigint | 50 | select pass | 0 | 514 | 0.4755 | 0.1 | kernel
cell      compaction | 1 bigint | 50 | compact build | 0 | 514 | 1.7494 | 0.4 | kernel
cell      compaction | 1 bigint | 50 | compact pass | 0 | 514 | 0.4966 | 0.4 | kernel
cell      compaction | 1 bigint | 75 | select build | 0 | 765 | 0.5152 | 0.2 | kernel
cell      compaction | 1 bigint | 75 | select pass | 0 | 765 | 0.4389 | 2.3 | kernel
cell      compaction | 1 bigint | 75 | compact build | 0 | 765 | 1.6539 | 2.1 | kernel
cell      compaction | 1 bigint | 75 | compact pass | 0 | 765 | 0.4678 | 2.6 | kernel
cell      compaction | 1 bigint | 100 | select build | 0 | 1024 | 0.4767 | 0.5 | kernel
cell      compaction | 1 bigint | 100 | select pass | 0 | 1024 | 0.4169 | 0.4 | kernel
cell      compaction | 1 bigint | 100 | compact build | 0 | 1024 | 1.6083 | 2.0 | kernel
cell      compaction | 1 bigint | 100 | compact pass | 0 | 1024 | 0.4558 | 1.7 | kernel
cell      compaction | 2 bigint | 0.1 | select build | 0 | 3 | 48.1352 | 0.2 | kernel
cell      compaction | 2 bigint | 0.1 | select pass | 0 | 3 | 33.4614 | 0.2 | kernel
cell      compaction | 2 bigint | 0.1 | compact build | 0 | 3 | 54.7086 | 2.5 | kernel
cell      compaction | 2 bigint | 0.1 | compact pass | 0 | 3 | 30.7428 | 2.2 | kernel
cell      compaction | 2 bigint | 1 | select build | 0 | 11 | 13.2351 | 0.2 | kernel
cell      compaction | 2 bigint | 1 | select pass | 0 | 11 | 9.4328 | 2.1 | kernel
cell      compaction | 2 bigint | 1 | compact build | 0 | 11 | 16.9242 | 2.2 | kernel
cell      compaction | 2 bigint | 1 | compact pass | 0 | 11 | 8.8400 | 1.6 | kernel
cell      compaction | 2 bigint | 5 | select build | 0 | 49 | 3.3370 | 2.9 | kernel
cell      compaction | 2 bigint | 5 | select pass | 0 | 49 | 2.7983 | 0.8 | kernel
cell      compaction | 2 bigint | 5 | compact build | 0 | 49 | 5.8643 | 1.4 | kernel
cell      compaction | 2 bigint | 5 | compact pass | 0 | 49 | 2.5880 | 0.2 | kernel
cell      compaction | 2 bigint | 10 | select build | 0 | 100 | 2.2091 | 1.9 | kernel
cell      compaction | 2 bigint | 10 | select pass | 0 | 100 | 1.9010 | 3.2 | kernel
cell      compaction | 2 bigint | 10 | compact build | 0 | 100 | 4.7190 | 2.1 | kernel
cell      compaction | 2 bigint | 10 | compact pass | 0 | 100 | 1.7104 | 3.1 | kernel
cell      compaction | 2 bigint | 25 | select build | 0 | 255 | 1.3044 | 0.7 | kernel
cell      compaction | 2 bigint | 25 | select pass | 0 | 255 | 1.1684 | 0.5 | kernel
cell      compaction | 2 bigint | 25 | compact build | 0 | 255 | 3.9062 | 1.2 | kernel
cell      compaction | 2 bigint | 25 | compact pass | 0 | 255 | 1.1565 | 0.6 | kernel
cell      compaction | 2 bigint | 50 | select build | 0 | 514 | 0.9050 | 0.2 | kernel
cell      compaction | 2 bigint | 50 | select pass | 0 | 514 | 0.9499 | 0.2 | kernel
cell      compaction | 2 bigint | 50 | compact build | 0 | 514 | 3.7297 | 0.5 | kernel
